"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","year"
"7205",41,"blue-collar","married","basic.6y","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7206",29,"self-employed","married","university.degree","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7210",50,"admin.","married","basic.9y","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7219",37,"services","married","high.school","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7221",52,"unemployed","married","high.school","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7223",43,"technician","married","university.degree","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7224",25,"services","single","high.school","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7226",36,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","thu",6,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7227",59,"admin.","married","high.school","no","yes","no","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7230",45,"technician","married","university.degree","no","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7231",36,"management","married","university.degree","no","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7233",31,"technician","married","professional.course","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7234",46,"admin.","married","unknown","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7235",28,"technician","married","high.school","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7237",59,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7239",38,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",6,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7240",25,"services","single","unknown","no","yes","yes","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7253",40,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7256",42,"blue-collar","married","basic.4y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7261",41,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7262",33,"services","single","high.school","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7263",29,"admin.","married","university.degree","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7266",55,"retired","married","university.degree","unknown","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7270",56,"management","divorced","basic.9y","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7271",48,"technician","married","professional.course","unknown","no","no","telephone","may","thu",7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7276",39,"management","married","basic.6y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7279",54,"blue-collar","married","university.degree","no","no","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7281",51,"blue-collar","married","basic.9y","no","no","no","telephone","may","thu",5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7282",41,"entrepreneur","married","basic.9y","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7285",54,"admin.","married","university.degree","unknown","no","yes","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7290",58,"retired","married","basic.9y","unknown","yes","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",2008
"7291",55,"admin.","married","high.school","no","no","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7299",52,"retired","married","basic.9y","unknown","no","no","telephone","may","thu",7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7303",53,"retired","married","basic.4y","no","no","no","telephone","may","thu",23,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7312",28,"services","single","high.school","no","no","no","telephone","may","thu",6,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7317",32,"services","married","high.school","no","yes","no","telephone","may","thu",8,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7319",59,"admin.","single","university.degree","no","yes","yes","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7321",30,"services","single","high.school","no","yes","no","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7322",27,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7324",59,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",2008
"7325",35,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7326",35,"blue-collar","single","university.degree","no","yes","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7331",57,"technician","married","university.degree","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7332",42,"housemaid","single","basic.4y","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7339",42,"services","married","professional.course","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7343",48,"blue-collar","married","basic.6y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7344",33,"blue-collar","single","basic.9y","no","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7347",52,"self-employed","married","university.degree","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7349",39,"admin.","single","university.degree","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7351",28,"services","married","high.school","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7358",47,"blue-collar","married","basic.9y","no","no","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7361",30,"admin.","married","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7365",26,"admin.","single","high.school","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7370",35,"blue-collar","single","basic.9y","no","yes","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7378",36,"housemaid","married","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7382",27,"student","single","university.degree","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7384",34,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7386",34,"unemployed","married","unknown","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7387",50,"admin.","married","university.degree","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7390",37,"self-employed","divorced","university.degree","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7392",37,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7393",32,"unemployed","single","high.school","unknown","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7397",49,"services","married","high.school","no","yes","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7405",48,"blue-collar","married","basic.6y","no","yes","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7406",26,"technician","married","basic.6y","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7411",43,"housemaid","married","basic.4y","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7418",37,"technician","married","professional.course","unknown","unknown","unknown","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7423",25,"student","single","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7426",44,"management","divorced","basic.9y","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7433",33,"management","married","basic.9y","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7434",35,"management","single","unknown","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7435",35,"housemaid","married","basic.4y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7436",45,"blue-collar","divorced","basic.9y","no","unknown","unknown","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7438",43,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7439",39,"technician","married","university.degree","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7440",32,"technician","single","university.degree","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7442",29,"technician","married","professional.course","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7445",25,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7449",30,"services","single","professional.course","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7458",40,"management","divorced","university.degree","unknown","yes","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7461",42,"unemployed","divorced","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7464",42,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7468",39,"technician","married","professional.course","no","no","no","telephone","may","fri",12,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7477",44,"blue-collar","married","basic.4y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7479",50,"technician","married","professional.course","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7483",27,"services","single","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7485",53,"technician","married","professional.course","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7487",31,"services","married","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7488",25,"admin.","single","unknown","no","no","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7493",46,"blue-collar","divorced","basic.4y","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7498",38,"blue-collar","single","basic.9y","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7499",25,"admin.","single","unknown","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7501",30,"admin.","married","unknown","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7506",47,"admin.","married","university.degree","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7509",31,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7511",46,"technician","married","university.degree","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7513",30,"blue-collar","married","unknown","unknown","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7518",54,"services","married","unknown","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7527",36,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7528",47,"self-employed","married","unknown","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7530",49,"self-employed","single","basic.9y","no","yes","yes","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7533",41,"admin.","married","professional.course","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7534",23,"services","single","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7536",54,"admin.","married","basic.4y","unknown","unknown","unknown","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7543",41,"entrepreneur","married","university.degree","no","yes","no","telephone","may","fri",10,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7549",34,"admin.","married","university.degree","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7551",43,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7552",30,"services","married","high.school","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7553",55,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7558",33,"technician","single","professional.course","unknown","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7559",25,"blue-collar","single","high.school","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7563",38,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7566",41,"technician","single","university.degree","unknown","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7569",35,"blue-collar","married","basic.6y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7571",29,"services","married","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7573",51,"retired","divorced","basic.9y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7574",33,"technician","unknown","professional.course","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7578",56,"blue-collar","married","professional.course","no","unknown","unknown","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7581",25,"admin.","single","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7584",40,"admin.","married","professional.course","no","no","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7586",59,"retired","single","high.school","no","no","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7587",38,"admin.","divorced","high.school","no","yes","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7591",47,"unknown","married","unknown","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7593",39,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7595",31,"admin.","married","university.degree","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7596",48,"admin.","divorced","university.degree","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7600",31,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7603",46,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7605",43,"management","married","unknown","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7606",53,"admin.","married","basic.9y","unknown","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7608",34,"management","married","university.degree","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7609",41,"blue-collar","married","basic.4y","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7610",35,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7618",43,"technician","married","professional.course","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7623",38,"services","married","high.school","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7624",37,"admin.","single","university.degree","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7625",47,"technician","married","basic.9y","no","no","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7628",34,"housemaid","divorced","basic.6y","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7629",52,"self-employed","single","university.degree","unknown","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7630",29,"blue-collar","single","basic.9y","no","no","no","telephone","may","fri",14,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7632",54,"blue-collar","married","unknown","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7637",45,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",9,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7638",41,"technician","single","professional.course","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7643",32,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7653",42,"services","married","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7669",27,"technician","single","professional.course","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7671",36,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","fri",11,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7677",33,"management","single","university.degree","no","no","no","telephone","may","fri",16,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7679",30,"admin.","single","high.school","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7685",28,"admin.","single","university.degree","no","yes","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7688",30,"blue-collar","married","unknown","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7690",27,"admin.","married","basic.9y","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7691",37,"self-employed","married","high.school","no","no","no","telephone","may","fri",8,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7693",35,"technician","divorced","professional.course","no","no","no","telephone","may","fri",10,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7694",35,"blue-collar","married","basic.6y","no","yes","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7697",39,"entrepreneur","married","high.school","no","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7698",50,"blue-collar","married","unknown","unknown","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7702",57,"services","divorced","high.school","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7706",47,"admin.","married","basic.6y","unknown","yes","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7707",36,"management","married","university.degree","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7711",38,"services","married","high.school","unknown","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7713",45,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7714",42,"technician","divorced","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7717",37,"housemaid","married","high.school","no","yes","yes","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7721",34,"entrepreneur","married","professional.course","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7724",43,"services","married","high.school","unknown","yes","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7728",37,"unemployed","married","professional.course","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7731",30,"self-employed","single","university.degree","no","no","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7732",31,"services","single","basic.9y","no","no","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",2008
"7734",47,"entrepreneur","married","university.degree","unknown","yes","no","telephone","may","fri",8,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7735",38,"technician","married","professional.course","no","yes","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7740",40,"services","married","high.school","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7742",46,"technician","married","basic.9y","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7745",37,"unemployed","married","professional.course","no","no","no","telephone","may","fri",8,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7746",30,"services","married","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7749",39,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7757",33,"technician","married","professional.course","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7758",35,"admin.","single","university.degree","no","no","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"7762",27,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",2008
"39571",52,"admin.","married","university.degree","no","no","no","cellular","may","tue",1,3,2,"success",-1.8,93.876,-40,0.668,5008.7,"no",2010
"39574",30,"blue-collar","single","professional.course","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,93.876,-40,0.668,5008.7,"no",2010
"39579",79,"retired","married","basic.9y","no","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,93.876,-40,0.668,5008.7,"no",2010
"39584",19,"student","single","basic.9y","no","yes","no","cellular","may","tue",1,999,3,"failure",-1.8,93.876,-40,0.668,5008.7,"no",2010
"39586",51,"services","married","high.school","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,93.876,-40,0.668,5008.7,"yes",2010
"39587",32,"student","single","unknown","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,93.876,-40,0.672,5008.7,"yes",2010
"39589",24,"student","single","high.school","no","no","no","cellular","may","wed",1,7,2,"success",-1.8,93.876,-40,0.672,5008.7,"yes",2010
"39591",24,"student","single","high.school","no","yes","no","cellular","may","wed",1,999,3,"failure",-1.8,93.876,-40,0.672,5008.7,"no",2010
"39592",24,"student","single","high.school","no","yes","no","cellular","may","wed",1,3,5,"success",-1.8,93.876,-40,0.672,5008.7,"yes",2010
